id,name,latitude,longitude,listing_url
1303261,Historic Beacon Hill,42.35714,-71.06968,https://www.airbnb.com/rooms/1303261
1321422,2 bedroom 1st Floor Apartment in Savin Hill,42.30907,-71.04674,https://www.airbnb.com/rooms/1321422
1374434,"Authentic Boston, cozy room",42.32546,-71.08894,https://www.airbnb.com/rooms/1374434
1374466,"Real Boston, off the beaten track",42.32546,-71.08894,https://www.airbnb.com/rooms/1374466
1403408,Big Boston room,42.32546,-71.08894,https://www.airbnb.com/rooms/1403408
1425973,Historic brick Victorian row house,42.34164,-71.07964,https://www.airbnb.com/rooms/1425973
1445064,Bright Sunlit bedroom near MGH labs/Downtown,42.38017,-71.06236,https://www.airbnb.com/rooms/1445064
1472520,Andrea's Private Bath T Downtown,42.30856,-71.04646,https://www.airbnb.com/rooms/1472520
1544144,Charming Historic Home in Charlestown,42.37243,-71.06349,https://www.airbnb.com/rooms/1544144
1545185,Large Studio Apt w/ Full Kitchen & Bath + Parking!,42.34873,-71.15693,https://www.airbnb.com/rooms/1545185
1551205,2 bed/2 bath in the heart of Boston,42.34175,-71.08359,https://www.airbnb.com/rooms/1551205
1596470,4-story Central Luxury-two blocks to Boston Common,42.34988,-71.06918,https://www.airbnb.com/rooms/1596470
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",42.3256,-71.09413,https://www.airbnb.com/rooms/1596664
1644031,Large Private Bedroom & Bathroom by the Seaport,42.33835,-71.0472,https://www.airbnb.com/rooms/1644031
1668313,Room in Rozzie-Twin Bed-Full Bath,42.28132,-71.13377,https://www.airbnb.com/rooms/1668313
1682936,Charming 2 level Apartment,42.32382,-71.09641,https://www.airbnb.com/rooms/1682936
1692573,Urban oasis trendy JP 'hood - suite,42.31293,-71.11527,https://www.airbnb.com/rooms/1692573
1721016,Quiet Sunlit Attic Studio,42.28639,-71.13199,https://www.airbnb.com/rooms/1721016
1724900,Charming sunlit house in Boston,42.28447,-71.13301,https://www.airbnb.com/rooms/1724900
1732804,Private room/ MUST LOVE DOGS,42.29009,-71.05762,https://www.airbnb.com/rooms/1732804
1810172,Room for 2 in Rozzie - Full Bath,42.28127,-71.13304,https://www.airbnb.com/rooms/1810172
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,42.34279,-71.0711,https://www.airbnb.com/rooms/1810397
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",42.34981,-71.09476,https://www.airbnb.com/rooms/1819994
1886037,Beautiful Penthouse in Beacon Hill,42.35985,-71.0717,https://www.airbnb.com/rooms/1886037
1956275,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",42.3079,-71.12378,https://www.airbnb.com/rooms/1956275
2014651,One Private Bedroom in J.P.,42.30593,-71.10733,https://www.airbnb.com/rooms/2014651
2014882,1 bedroom and private bathroom,42.34245,-71.15758,https://www.airbnb.com/rooms/2014882
2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,42.3358,-71.04948,https://www.airbnb.com/rooms/2021483
2021489,Spacious Updated Boston Room/Condo,42.33375,-71.04767,https://www.airbnb.com/rooms/2021489
2108738,Back Bay Studio,42.3504,-71.08891,https://www.airbnb.com/rooms/2108738
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",42.35771,-71.06978,https://www.airbnb.com/rooms/2126053
2141306,Modern 2Bd1BA in Downtown Boston,42.3559,-71.05998,https://www.airbnb.com/rooms/2141306
2183117,I bdrm in Boston/Allston/Brookline,42.34995,-71.13427,https://www.airbnb.com/rooms/2183117
